prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
41652,8,54209020,Prazosin 500microgram tablets (A A H Pharmaceuticals Ltd),Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),March 2010
43547,2,54222020,Prazosin 500microgram tablets (IVAX Pharmaceuticals UK Ltd),Prazosin hydrochloride,500microgram,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),September 2010
3715,26318,66158020,Prazosin 5mg tablets,Prazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
55826,186,54216020,Prazosin 5mg tablets (A A H Pharmaceuticals Ltd),Prazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),August 2013
46526,36,99138020,Raporsin XL 4mg tablets (Actavis UK Ltd),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),December 2011
36740,115,92709020,Slocinx XL 4mg tablets (Zentiva),Doxazosin mesilate,4mg,Modified-release tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
4875,44661,68058020,Terazosin 10mg tablets,Terazosin hydrochloride,10mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
3470,888,68054020,Terazosin 1mg tablets,Terazosine,1mg,Tablets,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
4637,86419,68055020,Terazosin 2mg tablets,Terazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
57145,0,65774020,Terazosin 2mg tablets (A A H Pharmaceuticals Ltd),Terazosin hydrochloride,2mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),September 2013
4694,2561,72784020,Terazosin 2mg tablets and Terazosin 1mg tablets,,,Not applicable,Route of administration not applicable,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
3924,99566,68056020,Terazosin 5mg tablets,Terazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
65442,23,63816020,Terazosin 5mg tablets (Mylan),Terazosin hydrochloride,5mg,Tablet,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2016
3923,534,83746020,Terazosin BPH starter pack 7x1mg with 14x2mg with 7x5mg,Terazosine,7 X 1mg + 14 X 2mg + 7 X 5mg,Starter Pack,Oral,02050400/07040150,Alpha-adrenoceptor Blocking Drugs/Alpha-blockers (in Urinary Retention),February 2009
