prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild
64050,19792911000001108,00766021,2,Martapan 2mg/5ml oral solution (Martindale Pharmaceuticals Ltd),Dexamethasone sodium phosphate,400microgram/1ml,Oral solution,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2015
77849,8429011000001104,19595020,1,Dexamethasone 1mg/5ml oral suspension,Dexamethasone,200microgram/1ml,Oral suspension,Oral,03020000/04065300/06030200,Corticosteroids (For Respiratory Conditions)/Products Used Against Nausea And Vertigo - Cytotoxic Chemotherapy/Glucocorticoid Therapy,August 2019
81107,28040011000001104,42993021,0,Dexamethasone (base) 3.8mg/1ml solution for injection vials (Alliance Healthcare (Distribution) Ltd),Dexamethasone sodium phosphate,3.8mg/1ml,Solution for injection,Intrabursal/Intraarticular/Intravenous/Intramuscular/Rectal/Subcutaneous,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,July 2020
64007,28799311000001104,46602021,100,Pevanti 10mg tablets (Advanz Pharma),Prednisolone,10mg,Tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),August 2015
5157,196715001000027100,75321020,889,Dexamethasone 2mg/5ml oral solution,Dexamethasone,2mg/5ml,Oral Solution,Oral,06030200,Glucocorticoid Therapy,February 2009
66287,32072011000001104,62215021,341,Dexamethasone 8mg soluble tablets sugar free,Dexamethasone sodium phosphate,8mg,Soluble tablet,Oral,06030200/64090000,Glucocorticoid Therapy/Diagnostic Test Of Adrenocortical Insufficiency,June 2016
32803,512811000001108,50401020,3465,Prednisolone 5mg gastro-resistant tablets (Accord-UK Ltd),Prednisolone,5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2009
69678,19208211000001104,78137020,1,Prednisolone 20mg/application foam enema (Essential Generics Ltd),Prednisolone sodium metasulfobenzoate,20mg/1application,Rectal foam,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,June 2017
79930,17916411000001100,06620020,0,Prednisolone 2.5mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Prednisolone,2.5mg,Gastro-resistant tablet,Oral,01050200/03020000/05011000/05040800/06030200/08020200/10010201,Corticosteroids In Chronic Bowel Problems/Corticosteroids (For Respiratory Conditions)/Antileprotic Drugs/Drugs For Pneumocystis Pneumonia/Glucocorticoid Therapy/Corticosteroids And Other Immunosuppressants/Systemic Corticosteroids (In Musculoskeletal And Joint Conditions),February 2020
68130,21679011000001104,46321020,8,Prednisolone sodium phosphate 5mg suppositories (A A H Pharmaceuticals Ltd),Prednisolone sodium phosphate,5mg,Suppository,Rectal,01050200,Corticosteroids In Chronic Bowel Problems,November 2016
13952,78065001000027100,57986020,267,Decadron 4mg/ml Injection (MSD Thomas Morson Pharmaceuticals),Dexamethasone Sodium Phosphate,4mg/ml,Injection,Intravenous Injection,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
37500,4052511000001106,92436020,867,Dexamethasone (base) 6.6mg/2ml solution for injection vials,Dexamethasone sodium phosphate,3.3mg/1ml,Solution for injection,Intravenous/Intrabursal/Intraarticular/Intramuscular,06030200/10010202,Glucocorticoid Therapy/Local Corticosteroid Injections,February 2009
