"prodcode","productname","drugsubstance","bnfcode","bnfchapter","type","label"
36377,"Pravastatin 20mg tablets (Teva UK Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
37434,"Simvastatin 40mg tablets (Sandoz Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
39060,"Simvastatin 20mg tablets (Dexcel-Pharma Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
39652,"Simvastatin 40mg/5ml oral solution sugar free","Simvastatin","02120400","Statins",5,"simvastatin"
39675,"Simvastatin 20mg/5ml Oral suspension (Martindale Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
39870,"Simvador 80mg tablets (Discovery Pharmaceuticals)","Simvastatin","02120400","Statins",5,"simvastatin"
40340,"Simvastatin 10mg tablets (Teva UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
40382,"Pravastatin 20mg tablets (A A H Pharmaceuticals Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
40601,"Simvastatin 20mg tablets (Ranbaxy (UK) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
41657,"Simvastatin 80mg tablets (Teva UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
43218,"Pravastatin 10mg tablets (Teva UK Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
44528,"Simvastatin 20mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
44650,"Simvastatin 40mg tablets (Dexcel-Pharma Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
44878,"Ranzolont 10mg tablets (Ranbaxy (UK) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
45219,"Simvastatin 40mg tablets (Kent Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
45235,"Simvastatin 20mg tablets (Sandoz Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
45245,"Simvastatin 20mg tablets (Actavis UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
45346,"Simvastatin 40mg tablets (Arrow Generics Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
46878,"Simvastatin 40mg tablets (Almus Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
46956,"Simvastatin 80mg tablets (Arrow Generics Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
47065,"Atorvastatin 20mg chewable tablets sugar free","Atorvastatin calcium trihydrate","00000000","Unknown",1,"atorvastatin"
47090,"Atorvastatin 10mg chewable tablets sugar free","Atorvastatin calcium trihydrate","00000000","Unknown",1,"atorvastatin"
47630,"Lipitor 20mg chewable tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","00000000","Unknown",1,"atorvastatin"
47721,"Lipitor 10mg chewable tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
47774,"Simvastatin 10mg tablets (Arrow Generics Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
47948,"Simvastatin 10mg tablets (Tillomed Laboratories Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
47988,"Pravastatin 40mg tablets (Mylan)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
48018,"Simvastatin 20mg tablets (Arrow Generics Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
48051,"Simvastatin 10mg tablets (Kent Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
48058,"Simvastatin 10mg tablets (Ranbaxy (UK) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
48078,"Simvastatin 10mg tablets (Actavis UK Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
48097,"Pravastatin 40mg tablets (Teva UK Ltd)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
48221,"Simvastatin 20mg/5ml oral suspension sugar free","Simvastatin","02120400","Statins",5,"simvastatin"
48346,"Atorvastatin 60mg tablets","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
48431,"Simvastatin 40mg/5ml oral suspension sugar free","Simvastatin","02120400","Statins",5,"simvastatin"
48518,"Atorvastatin 10mg/5ml oral solution","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
48867,"Simvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
48973,"Atorvastatin 30mg tablets","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
49061,"Simvastatin 40mg tablets (Bristol Laboratories Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
49062,"Simvastatin 20mg tablets (Alliance Healthcare (Distribution) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
49558,"Atorvastatin 20mg tablets (A A H Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
49587,"Simvastatin 80mg tablets (Almus Pharmaceuticals Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
49751,"Atorvastatin 40mg tablets (Alliance Healthcare (Distribution) Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
50236,"Atorvastatin 10mg tablets (Zentiva)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
50272,"Atorvastatin 40mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
50483,"Simvastatin 40mg tablets (Relonchem Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
50564,"Simvastatin 20mg tablets (Relonchem Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
50670,"Simvastatin 40mg tablets (Milpharm Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
50703,"Simvastatin 40mg tablets (Accord Healthcare Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
50754,"Simvastatin 20mg tablets (Medreich Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
50788,"Atorvastatin 20mg tablets (Pfizer Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
50790,"Atorvastatin 20mg tablets (Dexcel-Pharma Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
50882,"Simvastatin 40mg tablets (Somex Pharma)","Simvastatin","02120400","Statins",5,"simvastatin"
50925,"Pravastatin 10mg tablets (Sigma Pharmaceuticals Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
50963,"Atorvastatin 40mg tablets (Teva UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
51085,"Simvastatin 10mg tablets (Medreich Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
51134,"Atorvastatin 10mg tablets (A A H Pharmaceuticals Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
51166,"Simvastatin 40mg tablets (Medreich Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
51200,"Atorvastatin 40mg tablets (Arrow Generics Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
51233,"Simvastatin 10mg tablets (Alliance Healthcare (Distribution) Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
51359,"Atorvastatin 20mg tablets (Arrow Generics Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
51483,"Simvastatin 20mg tablets (Milpharm Ltd)","Simvastatin","02120400","Statins",5,"simvastatin"
51622,"Atorvastatin 20mg tablets (Consilient Health Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
51676,"Pravastatin 40mg tablets (Medreich Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
51715,"Simvastatin 10mg tablets (Sigma Pharmaceuticals Plc)","Simvastatin","02120400","Statins",5,"simvastatin"
51876,"Atorvastatin 40mg tablets (Consilient Health Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
51890,"Pravastatin 20mg tablets (Medreich Plc)","Pravastatin sodium","02120400","Statins",3,"pravastatin"
52097,"Atorvastatin 40mg tablets (Wockhardt UK Ltd)","Atorvastatin calcium trihydrate","02120400","Statins",1,"atorvastatin"
