prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,ap_code
33656,765111000001108,48774020,3001,Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
44639,139135001000027100,66396020,1,Aspirin 300mg Dispersible tablet (Nucare Plc),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2011,1
16,319775004,72648020,9990861,Aspirin 75mg tablets,Aspirin,75mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
77433,21778211000001104,47318020,770,Aspirin 300mg gastro-resistant tablets (Waymade Healthcare Plc),Aspirin,300mg,Gastro-resistant tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,August 2019,1
66345,22610611000001104,16677021,94,Aspirin 75mg dispersible tablets (DE Pharmaceuticals),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,June 2016,1
31210,47655001000027104,54011020,56,Aspirin 300mg Tablet (Co-operative),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
17920,191495001000027100,74302020,7961,Disprin cv 100mg Modified-release tablet (Reckitt Benckiser Healthcare (UK) Ltd),Aspirin,100mg,Modified-Release Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
2607,167915001000027100,70474020,4,Paynocil Tablet (Beecham Research Laboratories),Aspirin,,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
65909,23953911000001104,21742021,22,Clopidogrel 75mg tablets (Milpharm Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,April 2016,1
33320,140245001000027100,66537020,3,Aspirin 75mg Dispersible tablet (Sovereign Medical Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
11977,217045001000027100,81582020,100,Aspro clear maximum strength tablets,Aspirin,500mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
2106,623011000001106,51078020,245424,Persantin 100mg tablets (Boehringer Ingelheim Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
20840,59235001000027104,55429020,10,Acetylsalicylic acid mix,Aspirin,,Mixture,Oromucosal,04070100,Non-Opioid And Compound Analgesics,February 2009,1
47992,138011000001102,59946020,285,Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,November 2012,1
10031,231615001000027100,85731020,4624,Aspirin 25mg with Dipyridamole 200mg modified-release capsules,Dipyridamole/Aspirin,25mg + 200mg,Modified Release Capsules,Oral,02090000,Antiplatelet Products,February 2009,1
34797,281711000001100,59503020,892,Aspirin 75mg gastro-resistant tablets (Actavis UK Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
67124,28365411000001108,44188021,1,Bisoprolol 10mg / Aspirin 75mg capsules,Bisoprolol fumarate/Aspirin,10mg + 75mg,Capsule,Oral,02040000/02090000,Beta-Adrenoceptor Blockers/Antiplatelet Products,August 2016,1
50926,594611000001102,02341020,2,Aspirin 75mg dispersible tablets (The Boots Company Plc),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,January 2013,1
67754,9789911000001102,69591020,1,Aspirin 300mg dispersible tablets (Almus Pharmaceuticals Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,October 2016,1
34611,799411000001102,51009020,269,Aspirin 75mg gastro-resistant tablets (C P Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,February 2009,1
71821,64195001000027104,56068020,23,Aspirin 300mg Tablet (Numark Management Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,April 2018,1
73466,12225001000027108,49575020,90,Dipyridamole 100mg Tablet (Approved Prescription Services Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,October 2018,1
771,319758005,62694020,81111,Dipyridamole 25mg tablets,Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
31211,65775001000027110,56282020,29,Aspirin 75mg Dispersible tablet (A A H Pharmaceuticals Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
59470,23610211000001108,20734021,145,Persantin Retard 200mg capsules (Consilient Health Ltd),Dipyridamole,200mg,Modified-release capsule,Oral,02090000,Antiplatelet Products,April 2014,1
657,4897611000001102,86989020,3262,Aspirin 500mg granules sachets sugar free,Aspirin,500mg,Granules,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
71663,34175711000001104,75110021,5,Aspirin 75mg tablets (Accord-UK Ltd),Aspirin,75mg,Tablet,Oral,02090000,Antiplatelet Products,February 2018,1
31192,169245001000027100,70664020,116,Vasyrol cold sore 25mg Tablet (Shire Pharmaceuticals Ltd),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
3,319773006,52994020,55550624,Aspirin 75mg dispersible tablets,Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,February 2009,1
41594,45275001000027104,53703020,271,Aspirin 300mg Dispersible tablet (Teva UK Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,March 2010,1
23932,4649111000001101,81581020,122,Aspro Clear 300mg effervescent tablets (Bayer Plc),Aspirin,300mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
7516,4660611000001105,68709020,3817,Aspirin 300mg effervescent tablets sugar free,Aspirin,300mg,Effervescent tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
53816,894511000001100,08036020,237,Aspirin 300mg dispersible tablets (Alliance Healthcare (Distribution) Ltd),Aspirin,300mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2013,1
43530,787811000001109,56938020,347,Dipyridamole 100mg tablets (Accord-UK Ltd),Dipyridamole,100mg,Tablet,Oral,02090000,Antiplatelet Products,September 2010,1
73994,844511000001107,02356020,400,Aspirin 75mg gastro-resistant tablets (Greenfield Pharmaceuticals Ltd),Aspirin,75mg,Gastro-resistant tablet,Oral,02090000,Antiplatelet Products,December 2018,1
62334,27167811000001104,29731021,2,Aspirin 300mg caplets (Wockhardt UK Ltd),Aspirin,300mg,Tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2015,1
45643,6095001000027106,48763020,113,Aspirin 75mg Soluble tablet (Celltech Pharma Europe Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000,Antiplatelet Products,July 2011,1
689,635611000001102,51077020,51934,Persantin 25mg tablets (Boehringer Ingelheim Ltd),Dipyridamole,25mg,Tablet,Oral,02090000,Antiplatelet Products,February 2009,1
42750,15981011000001100,77086020,27,Clopidogrel 75mg tablets (Actavis UK Ltd),Clopidogrel,75mg,Tablet,Oral,02090000,Antiplatelet Products,June 2010,1
23593,636011000001100,79130020,20110,PostMI 75 dispersible tablets (Ashbourne Pharmaceuticals Ltd),Aspirin,75mg,Dispersible tablet,Oral,02090000/04070100,Antiplatelet Products/Non-Opioid And Compound Analgesics,February 2009,1
