prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnfchapter,bnftext,databasebuild,vdd_code
86649,39096711000001104,95589021,1,Colecalciferol 200units/dose oral spray sugar free,Colecalciferol,200unit/1dose,Not applicable,Route of administration not applicable,09060400,Vitamin D,August 2022,1
53806,21256311000001104,44931020,4,"ColeVit D3 5,000unit capsules (Sterling Pharmaceuticals Ltd)",Colecalciferol,5000unit,Capsule,Oral,09060400,Vitamin D,February 2013,1
83432,32882911000001104,69731021,1,"SunVit-D3 2,000units/ml oral solution (SunVit-D3 Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,April 2021,1
49974,9262011000001100,21388020,708,Cod liver oil 294mg capsules,Cod liver oil/Retinol/Colecalciferol,294mg +  + ,Capsule,Oral,09040251,Nutritional Supplements,January 2013,1
67010,24448211000001104,26401021,116,Valupak Calcium & Vitamin D tablets (BR Pharmaceuticals Ltd),Calcium carbonate/Colecalciferol,400mg + 100unit,Tablet,Oral,09060400,Vitamin D,August 2016,1
46387,19973811000001108,00028021,625804,Colecalciferol 800unit capsules,Colecalciferol,800unit,Capsule,Oral,09060400,Vitamin D,November 2011,1
71953,32846611000001100,69727021,7,"Natures Aid Vitamin D3 5,000unit tablets (Natures Aid Ltd)",Colecalciferol,5000unit,Tablet,Oral,09060400,Vitamin D,April 2018,1
59167,11816011000001100,30084020,12,Colecalciferol 400units/5ml oral suspension,Colecalciferol,80unit/1ml,Oral suspension,Oral,09060400,Vitamin D,March 2014,1
65241,28396411000001104,44805021,2262,"Thorens 25,000units/2.5ml oral solution (Galen Ltd)",Colecalciferol,10000unit/1ml,Oral solution,Oral,09060400,Vitamin D,January 2016,1
79519,37215411000001104,87591021,1023,"Strivit-D3 3,200unit capsules (Strides Pharma UK Ltd)",Colecalciferol,3200unit,Capsule,Oral,09060400,Vitamin D,January 2020,1
71767,34808011000001104,78623021,1065,Paravit-CF liquid (Parapharm Development Ltd),Colecalciferol/Alpha tocopheryl acetate/Phytomenadione/Retinol palmitate, +  +  + ,Liquid,Oral,09060700,Multivitamin And Multimineral Preparations,April 2018,1
79724,37215811000001104,87193021,1614,"Strivit-D3 20,000unit capsules (Strides Pharma UK Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,January 2020,1
86305,40529311000001110,01452022,182,Colecalciferol 400units/drop oral drops sugar free,Colecalciferol,400unit/1drop,Oral drops,Oral,09060400,Vitamin D,June 2022,1
45767,264015001000027100,99556020,188,Colecalciferol 10000units/ml oral solution,Colecalciferol,10000 units/ml,Oral Solution,Oral,09060400,Vitamin D,August 2011,1
83019,39153211000001104,96356021,38,"ColeDose D3 25,000unit capsules (TriOn Pharma Ltd)",Colecalciferol,25000unit,Capsule,Oral,09060400,Vitamin D,February 2021,1
72463,24103911000001108,23192021,98,Valupak Cod Liver Oil 1000mg capsules (BR Pharmaceuticals Ltd),Cod liver oil/Retinol/Colecalciferol,1gram +  + ,Capsule,Oral,09040251,Nutritional Supplements,July 2018,1
53596,21256811000001104,44922020,23,"ColeVit D3 20,000unit capsules (Sterling Pharmaceuticals Ltd)",Colecalciferol,20000unit,Capsule,Oral,09060400,Vitamin D,January 2013,1
81244,35435811000001100,80973021,68,SunVit-D3 400unit Vegan tablets (SunVit-D3 Ltd),Colecalciferol,400unit,Tablet,Oral,09060400,Vitamin D,July 2020,1
57071,22259911000001104,16252021,956,"Pro D3 2,000units/ml liquid (Synergy Biologics Ltd)",Colecalciferol,2000unit/1ml,Oral solution,Oral,09060400,Vitamin D,September 2013,1
88660,39090711000001104,95711021,2,DailyD Vitamin D3 400units oral spray (Kora Healthcare),Colecalciferol,400unit/1dose,Not applicable,Route of administration not applicable,09060400,Vitamin D,September 2023,1
