prodcode,therapyevents,gemscriptcode,productname,drugsubstancename,substancestrength,formulation,routeofadministration,bnfcode,bnfheader,databasebuild
3917,325790,72822020,Istin 5mg tablets (Pfizer Ltd),Amlodipine,5mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
38434,6,93025020,Keloc SR 10mg tablets (Teva UK Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
35696,218,88983020,Kenzem SR 120mg capsules (Kent Pharmaceuticals Ltd),Diltiazem hydrochloride,120mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
37774,570,88979020,Kenzem SR 60mg capsules (Kent Pharmaceuticals Ltd),Diltiazem hydrochloride,60mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
27401,490,88981020,Kenzem SR 90mg capsules (Kent Pharmaceuticals Ltd),Diltiazem hydrochloride,90mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
5158,399927,74744020,Lacidipine 2mg tablets,Lacidipine,2mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
70990,0,78005020,Lacidipine 2mg tablets (A A H Pharmaceuticals Ltd),Lacidipine,2mg,Tablet,Oral,02060200,Calcium-channel Blockers,December 2017
60699,1,02051020,Lacidipine 2mg tablets (Sigma Pharmaceuticals Plc),Lacidipine,2mg,Tablet,Oral,02060200,Calcium-channel Blockers,August 2014
3221,518731,74745020,Lacidipine 4mg tablets,Lacidipine,4mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
57680,0,78002020,Lacidipine 4mg tablets (A A H Pharmaceuticals Ltd),Lacidipine,4mg,Tablet,Oral,02060200,Calcium-channel Blockers,October 2013
56994,0,77966020,Lacidipine 4mg tablets (Teva UK Ltd),Lacidipine,4mg,Tablet,Oral,02060200,Calcium-channel Blockers,September 2013
5593,1333608,79553020,Lercanidipine 10mg tablets,Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
69239,14,02096020,Lercanidipine 10mg tablets (A A H Pharmaceuticals Ltd),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,April 2017
64227,15,77284020,Lercanidipine 10mg tablets (Actavis UK Ltd),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,September 2015
57444,0,14783021,Lercanidipine 10mg tablets (Aptil Pharma Ltd),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,October 2013
71018,0,42160020,Lercanidipine 10mg tablets (Arrow Generics Ltd),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,December 2017
61611,0,23689021,Lercanidipine 10mg tablets (DE Pharmaceuticals),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,November 2014
47331,283,77345020,Lercanidipine 10mg tablets (Mylan),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,June 2012
70827,0,77159020,Lercanidipine 10mg tablets (Teva UK Ltd),Lercanidipine hydrochloride,10mg,Tablet,Oral,02060200,Calcium-channel Blockers,December 2017
13243,409299,90705020,Lercanidipine 20mg tablets,Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
63917,13,28127020,Lercanidipine 20mg tablets (A A H Pharmaceuticals Ltd),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,July 2015
59233,12,77287020,Lercanidipine 20mg tablets (Actavis UK Ltd),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,March 2014
70732,5,28124020,Lercanidipine 20mg tablets (Alliance Healthcare (Distribution) Ltd),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,November 2017
71030,0,43674020,Lercanidipine 20mg tablets (Arrow Generics Ltd),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,December 2017
56767,0,77347020,Lercanidipine 20mg tablets (Mylan),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,August 2013
65659,26,77164020,Lercanidipine 20mg tablets (Teva UK Ltd),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,March 2016
64424,0,28126020,Lercanidipine 20mg tablets (Zentiva),Lercanidipine hydrochloride,20mg,Tablet,Oral,02060200,Calcium-channel Blockers,October 2015
22241,100,84495020,Mibefradil 100mg Tablet,Mibefradil,100mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
15652,705,84494020,Mibefradil 50mg Tablet,Mibefradil,50mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
11966,45752,74740020,Motens 2mg tablets (GlaxoSmithKline UK Ltd),Lacidipine,2mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
9670,44071,74741020,Motens 4mg tablets (GlaxoSmithKline UK Ltd),Lacidipine,4mg,Tablet,Oral,02060200,Calcium-channel Blockers,February 2009
29044,66,88260020,Neofel XL 10mg tablets (Kent Pharmaceuticals Ltd),Felodipine,10mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
55740,83,02041020,Neofel XL 2.5mg tablets (Actavis UK Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,June 2013
58339,52,02044020,Neofel XL 2.5mg tablets (Almus Pharmaceuticals Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,December 2013
39357,196,93501020,Neofel XL 2.5mg tablets (Kent Pharmaceuticals Ltd),Felodipine,2.5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,April 2009
28721,69,88258020,Neofel XL 5mg tablets (Kent Pharmaceuticals Ltd),Felodipine,5mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
37530,108,91229020,Neozipine XL 30mg tablets (Kent Pharmaceuticals Ltd),Nifedipine,30mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
35646,81,91231020,Neozipine XL 60mg tablets (Kent Pharmaceuticals Ltd),Nifedipine,60mg,Modified-release tablet,Oral,02060200,Calcium-channel Blockers,February 2009
2926,113641,65031020,Nicardipine 20mg capsules,Nicardipine hydrochloride,20mg,Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
8201,61664,65032020,Nicardipine 30mg capsules,Nicardipine hydrochloride,30mg,Capsule,Oral,02060200,Calcium-channel Blockers,February 2009
45292,8,64571020,Nicardipine 30mg capsules (A A H Pharmaceuticals Ltd),Nicardipine hydrochloride,30mg,Capsule,Oral,02060200,Calcium-channel Blockers,May 2011
5477,29463,52063020,Nicardipine 30mg modified-release capsules,Nicardipine hydrochloride,30mg,Modified-release capsule,Oral,02060200,Calcium-channel Blockers,February 2009
