medcode,readcode,readterm,incident
101121,NA,coronary artery bypass graft operation planned,NA
101164,NA,coronary angiography planned,NA
101373,NA,coronary angioplasty planned,NA
101692,NA,long term dual antiplatelet drug therapy indicated,NA
103655,NA,frequency of angina,NA
103932,NA,coronary heart disease care plan,NA
105216,NA,h/o acute coronary syndrome,NA
105479,NA,coronary microvascular disease,NA
107574,NA,referral to angina plan self-management programme,NA
107967,NA,angina self-management plan agreed,NA
108056,NA,referral to angina plan self-management programme declined,NA
